"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Nov-2024","EQ","535.13","535.53","525.16","532.75","526.56","525.80","529.25","560.97","440.78","22,696","1,20,11,880.93","558"
"11-Nov-2024","EQ","535.97","536.98","527.71","530.28","531.91","532.75","533.01","560.97","440.78","24,062","1,28,25,188.25","547"
"08-Nov-2024","EQ","533.88","535.67","529.09","533.88","530.41","530.28","531.81","560.97","436.50","31,666","1,68,40,343.99","472"
"07-Nov-2024","EQ","538.33","539.04","532.50","538.33","535.03","533.88","534.73","560.97","436.50","40,611","2,17,15,772.08","506"
"06-Nov-2024","EQ","537.57","539.28","535.03","535.37","538.47","538.33","537.89","560.97","436.50","1,23,589","6,64,77,662.62","636"
"05-Nov-2024","EQ","529.52","536.16","521.57","525.34","533.14","535.37","531.52","560.97","436.50","63,084","3,35,30,545.26","537"
"04-Nov-2024","EQ","529.27","533.99","524.06","529.27","526.26","525.34","525.42","560.97","436.50","1,16,237","6,10,73,769.05","820"
"01-Nov-2024","EQ","529.49","532.44","529.00","529.49","529.18","529.27","530.18","560.97","432.87","3,778","20,03,016.73","267"
"31-Oct-2024","EQ","537.57","537.57","526.43","532.44","529.35","529.49","526.96","560.97","432.87","1,56,568","8,25,05,023.84","487"
"30-Oct-2024","EQ","535.98","536.15","531.07","536.40","533.99","532.44","533.72","560.97","432.87","51,857","2,76,77,009.35","812"
"29-Oct-2024","EQ","529.26","537.00","525.44","525.42","536.98","536.40","531.76","560.97","432.87","1,03,471","5,50,22,170.41","430"
"28-Oct-2024","EQ","526.47","529.05","521.10","520.84","526.50","525.42","526.96","560.97","432.87","6,53,247","34,42,38,290.98","573"
"25-Oct-2024","EQ","529.01","531.63","518.04","528.91","520.98","520.84","520.77","560.97","429.13","4,02,775","20,97,51,881.65","1,377"
"24-Oct-2024","EQ","531.97","531.97","526.10","526.43","529.00","528.91","529.12","560.97","429.13","5,80,577","30,71,93,902.29","462"
"23-Oct-2024","EQ","526.99","529.77","524.87","527.36","526.31","526.43","527.47","560.97","429.13","42,817","2,25,84,532.99","1,216"
"22-Oct-2024","EQ","528.56","537.41","526.37","533.44","527.99","527.36","529.37","560.97","429.13","1,51,598","8,02,51,980.68","618"
"21-Oct-2024","EQ","538.25","539.75","532.26","537.64","534.03","533.44","535.31","560.97","429.13","21,596","1,15,60,531.18","583"
"18-Oct-2024","EQ","521.77","539.28","521.77","526.73","536.90","537.64","537.23","560.97","429.13","8,86,001","47,59,82,257.48","1,056"
"17-Oct-2024","EQ","532.13","532.29","525.52","532.12","527.00","526.73","526.02","560.97","429.13","1,55,922","8,20,18,490.78","539"
"16-Oct-2024","EQ","530.01","537.97","530.01","533.77","532.58","532.12","533.14","560.97","429.13","16,676","88,90,652.40","369"
"15-Oct-2024","EQ","533.22","535.20","531.10","532.51","533.37","533.77","533.60","560.97","429.13","10,316","55,04,641.90","438"
"14-Oct-2024","EQ","531.97","533.62","527.50","526.63","532.26","532.51","531.52","560.97","429.13","78,134","4,15,30,168.07","550"
"11-Oct-2024","EQ","525.19","535.97","522.37","530.49","526.00","526.63","526.84","560.97","429.13","17,550","92,45,993.31","505"
"10-Oct-2024","EQ","527.40","532.03","525.88","525.76","531.10","530.49","529.95","560.97","429.13","14,709","77,95,076.09","464"
"09-Oct-2024","EQ","530.97","532.44","521.01","525.51","525.00","525.76","526.79","560.97","429.13","51,473","2,71,15,352.66","602"
"08-Oct-2024","EQ","527.97","527.98","520.70","522.26","525.10","525.51","525.12","560.97","429.13","31,323","1,64,48,393.57","543"
"07-Oct-2024","EQ","547.95","547.95","518.35","531.98","524.99","522.26","524.03","560.97","429.13","73,248","3,83,84,428.39","1,370"
"04-Oct-2024","EQ","538.05","541.97","530.55","538.05","532.91","531.98","536.08","560.97","429.13","1,08,496","5,81,62,590.14","969"
"03-Oct-2024","EQ","540.01","545.00","534.61","545.83","538.91","538.05","537.78","560.97","429.13","34,156","1,83,68,439.84","1,122"
"01-Oct-2024","EQ","550.00","550.00","540.34","545.83","545.78","545.83","545.96","560.97","429.13","8,597","46,93,594.14","416"
"30-Sep-2024","EQ","554.55","560.97","544.95","554.55","545.93","545.83","546.58","560.97","429.13","97,315","5,31,90,069.61","1,498"
"27-Sep-2024","EQ","556.61","558.73","553.35","559.15","555.48","554.55","556.17","560.29","429.13","57,547","3,20,05,976.22","2,739"
"26-Sep-2024","EQ","553.00","560.29","545.50","556.35","556.69","559.15","557.11","560.29","429.13","13,652","76,05,602.24","416"
"25-Sep-2024","EQ","557.00","558.94","553.77","555.94","555.10","556.35","555.79","558.94","429.13","10,223","56,81,865.41","741"
"24-Sep-2024","EQ","550.34","558.79","550.34","555.38","554.65","555.94","557.60","558.79","429.13","3,68,310","20,53,70,264.67","669"
"23-Sep-2024","EQ","551.05","557.01","550.26","551.05","555.00","555.38","554.52","557.01","429.13","51,428","2,85,17,605.66","703"
"20-Sep-2024","EQ","546.78","553.64","543.79","544.79","551.20","551.05","549.16","553.64","429.13","1,24,927","6,86,04,852.83","857"
"19-Sep-2024","EQ","540.26","547.05","540.26","540.26","545.30","544.79","544.49","552.40","429.13","52,156","2,83,98,192.16","711"
