"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Nov-2024","EQ","267.88","271.90","265.06","267.88","267.03","267.15","267.54","325.00","204.26","199","53,239.51","35"
"11-Nov-2024","EQ","272.97","272.97","266.10","268.48","267.56","267.88","269.49","325.00","204.26","669","1,80,290.16","67"
"08-Nov-2024","EQ","272.26","276.29","265.54","272.25","266.02","268.48","269.28","325.00","204.26","2,338","6,29,587.39","108"
"07-Nov-2024","EQ","278.12","279.99","271.00","278.12","276.89","272.25","274.31","325.00","204.26","2,807","7,69,996.55","123"
"06-Nov-2024","EQ","279.70","279.77","272.07","274.70","279.40","278.12","276.86","325.00","204.26","240","66,445.86","45"
"05-Nov-2024","EQ","276.87","276.88","268.61","272.88","275.50","274.70","274.15","325.00","204.26","292","80,053.01","56"
"04-Nov-2024","EQ","277.43","283.70","271.00","277.62","274.45","272.88","275.63","325.00","204.26","1,013","2,79,209.95","85"
"01-Nov-2024","EQ","279.70","279.70","272.01","273.33","273.03","277.62","278.85","325.00","201.80","260","72,500.33","26"
"31-Oct-2024","EQ","276.17","279.76","268.70","277.44","270.00","273.33","271.90","325.00","201.80","2,159","5,87,025.40","135"
"30-Oct-2024","EQ","272.99","279.76","267.36","270.81","271.95","277.44","274.05","325.00","201.80","565","1,54,839.15","48"
"29-Oct-2024","EQ","271.85","273.39","268.25","271.61","269.16","270.81","271.38","325.00","201.80","254","68,929.49","45"
"28-Oct-2024","EQ","273.69","273.70","266.98","266.97","271.85","271.61","270.50","325.00","201.80","327","88,452.06","61"
"25-Oct-2024","EQ","276.79","276.80","264.50","269.37","266.90","266.97","267.10","325.00","200.75","780","2,08,340.41","84"
"24-Oct-2024","EQ","281.90","281.90","268.21","276.48","271.50","269.37","272.42","325.00","200.75","2,084","5,67,724.22","134"
"23-Oct-2024","EQ","280.67","282.67","273.15","280.77","281.40","276.48","277.51","325.00","200.75","1,443","4,00,451.84","126"
"22-Oct-2024","EQ","281.94","281.95","273.20","278.61","281.19","280.77","279.47","325.00","200.75","524","1,46,439.99","75"
"21-Oct-2024","EQ","277.34","281.50","272.02","277.34","278.08","278.61","279.45","325.00","200.75","1,053","2,94,257.33","79"
"18-Oct-2024","EQ","282.78","282.78","274.91","277.70","280.98","277.34","280.88","325.00","200.75","796","2,23,582.11","70"
"17-Oct-2024","EQ","282.92","282.92","275.15","281.18","280.80","277.70","279.74","325.00","200.75","1,237","3,46,038.41","72"
