"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Nov-2024","EQ","259.58","259.58","255.01","258.04","257.99","256.13","257.11","282.96","204.89","3,287","8,45,122.53","213"
"11-Nov-2024","EQ","258.01","260.33","256.96","258.11","257.17","258.04","258.89","282.96","204.89","2,975","7,70,207.91","237"
"08-Nov-2024","EQ","262.39","262.40","257.12","258.89","258.00","258.11","258.64","282.96","200.56","7,384","19,09,782.86","160"
"07-Nov-2024","EQ","262.98","265.39","258.25","261.87","258.61","258.89","259.35","282.96","200.56","4,733","12,27,493.94","227"
"06-Nov-2024","EQ","259.98","262.10","257.02","258.84","261.01","261.87","261.29","282.96","200.56","14,550","38,01,824.96","262"
"05-Nov-2024","EQ","259.99","259.99","255.10","256.98","258.79","258.84","256.88","282.96","200.56","10,009","25,71,064.49","205"
"04-Nov-2024","EQ","264.91","266.97","254.60","265.05","262.00","256.98","256.71","282.96","200.56","25,415","65,24,164.30","696"
"01-Nov-2024","EQ","261.99","267.58","260.00","259.80","265.84","265.05","264.16","282.96","199.00","2,147","5,67,151.39","187"
"31-Oct-2024","EQ","263.48","263.48","258.81","261.07","261.49","259.80","259.56","282.96","199.00","1,442","3,74,288.24","158"
"30-Oct-2024","EQ","260.01","264.99","259.35","261.15","264.99","261.07","261.03","282.96","199.00","2,040","5,32,491.41","142"
"29-Oct-2024","EQ","262.48","262.49","258.00","259.59","260.50","261.15","259.43","282.96","199.00","1,708","4,43,101.42","148"
"28-Oct-2024","EQ","258.52","264.66","258.51","258.46","259.25","259.59","260.34","282.96","199.00","3,186","8,29,434.13","258"
"25-Oct-2024","EQ","261.98","262.60","256.05","259.84","256.70","258.46","258.67","282.96","199.00","26,155","67,65,519.46","255"
"24-Oct-2024","EQ","263.89","263.89","258.01","260.80","259.50","259.84","260.11","282.96","199.00","1,519","3,95,111.28","148"
"23-Oct-2024","EQ","264.75","264.75","260.00","260.98","261.00","260.80","261.55","282.96","199.00","17,545","45,88,979.89","187"
"22-Oct-2024","EQ","262.61","268.39","260.50","265.25","261.93","260.98","263.19","282.96","199.00","4,333","11,40,418.00","213"
"21-Oct-2024","EQ","265.69","269.99","263.29","265.69","264.01","265.25","264.91","282.96","199.00","2,610","6,91,414.44","238"
"18-Oct-2024","EQ","261.00","266.00","261.00","264.32","265.64","265.69","265.53","282.96","199.00","21,885","58,11,108.43","198"
"17-Oct-2024","EQ","267.98","268.00","263.64","267.34","264.38","264.32","265.02","282.96","199.00","3,551","9,41,090.42","254"
"16-Oct-2024","EQ","267.48","269.44","265.61","267.49","269.44","267.34","267.32","282.96","199.00","2,605","6,96,365.51","159"
"15-Oct-2024","EQ","268.06","270.99","267.01","268.44","267.50","267.49","267.78","282.96","199.00","5,207","13,94,316.86","174"
"14-Oct-2024","EQ","268.00","268.99","266.58","266.57","268.99","268.44","268.25","282.96","199.00","1,419","3,80,645.21","171"
"11-Oct-2024","EQ","269.96","269.97","265.11","267.02","269.97","266.57","266.53","282.96","199.00","3,822","10,18,668.91","194"
"10-Oct-2024","EQ","267.01","269.98","266.00","267.03","269.98","267.02","267.41","282.96","199.00","3,108","8,31,110.48","255"
"09-Oct-2024","EQ","270.49","270.49","263.55","266.85","269.99","267.03","268.06","282.96","199.00","2,158","5,78,480.93","155"
"08-Oct-2024","EQ","269.98","269.99","264.51","267.80","266.50","266.85","266.70","282.96","199.00","6,704","17,87,971.34","205"
"07-Oct-2024","EQ","271.98","272.99","263.61","268.10","266.51","267.80","267.40","282.96","199.00","8,879","23,74,247.69","373"
"04-Oct-2024","EQ","271.50","273.48","267.00","270.57","268.24","268.10","269.57","282.96","199.00","9,118","24,57,919.87","309"
"03-Oct-2024","EQ","277.99","277.99","270.00","275.36","271.58","270.57","272.04","282.96","199.00","10,054","27,35,140.26","412"
"01-Oct-2024","EQ","279.50","279.50","274.01","276.31","274.15","275.36","275.83","282.96","199.00","7,848","21,64,694.99","287"
"30-Sep-2024","EQ","282.96","282.96","275.80","279.17","276.32","276.31","277.29","282.96","199.00","6,709","18,60,320.63","381"
"27-Sep-2024","EQ","280.99","280.99","276.00","278.65","278.58","279.17","279.74","282.70","199.00","4,605","12,88,205.16","213"
"26-Sep-2024","EQ","279.48","279.49","275.01","276.54","277.00","278.65","278.28","282.70","199.00","3,657","10,17,661.60","190"
"25-Sep-2024","EQ","277.98","282.70","274.55","276.99","276.56","276.54","277.22","282.70","199.00","7,761","21,51,526.68","184"
"24-Sep-2024","EQ","274.56","278.98","274.55","276.68","277.95","276.99","277.07","278.98","199.00","4,316","11,95,832.68","199"
"23-Sep-2024","EQ","272.00","276.97","272.00","273.20","276.97","276.68","275.34","278.00","199.00","2,905","7,99,859.62","247"
"20-Sep-2024","EQ","270.01","274.98","267.25","272.29","267.25","273.20","273.41","278.00","199.00","2,372","6,48,521.49","191"
"19-Sep-2024","EQ","270.80","273.97","268.56","270.80","273.80","272.29","272.11","278.00","199.00","8,835","24,04,103.68","187"
"18-Sep-2024","EQ","274.91","274.91","269.00","271.52","269.00","270.80","271.22","278.00","199.00","1,756","4,76,264.43","157"
"17-Sep-2024","EQ","272.00","274.48","267.66","271.81","271.59","271.52","270.62","278.00","199.00","4,662","12,61,617.72","197"
"16-Sep-2024","EQ","272.97","276.46","267.89","269.57","276.46","271.81","270.87","278.00","199.00","11,063","29,96,654.86","267"
"13-Sep-2024","EQ","273.25","278.00","267.00","269.81","269.55","269.57","270.58","278.00","199.00","8,546","23,12,411.23","187"
"12-Sep-2024","EQ","267.75","270.04","264.95","264.95","269.43","269.81","268.29","274.99","199.00","4,077","10,93,802.93","157"
"11-Sep-2024","EQ","269.75","269.75","260.00","267.06","262.00","264.95","267.05","274.99","199.00","3,619","9,66,438.02","152"
"10-Sep-2024","EQ","268.00","268.30","264.55","266.12","268.09","267.06","266.75","274.99","199.00","3,408","9,09,071.33","175"
"09-Sep-2024","EQ","265.56","268.17","263.04","265.56","266.53","266.12","265.51","274.99","199.00","2,362","6,27,125.64","228"
"06-Sep-2024","EQ","267.00","270.00","264.41","268.48","266.00","265.56","265.95","274.99","199.00","5,028","13,37,216.02","308"
"05-Sep-2024","EQ","268.23","270.18","268.00","267.87","268.54","268.48","268.79","274.99","199.00","1,979","5,31,929.49","168"
"04-Sep-2024","EQ","268.97","271.00","266.80","268.97","267.87","267.87","268.26","274.99","199.00","4,206","11,28,311.32","1,124"
"03-Sep-2024","EQ","268.75","271.48","266.55","268.75","268.53","268.97","269.15","274.99","199.00","2,154","5,79,742.87","200"
"02-Sep-2024","EQ","270.49","271.98","266.00","268.70","268.70","268.75","269.90","274.99","199.00","3,232","8,72,326.50","321"
"30-Aug-2024","EQ","269.99","269.99","265.55","267.71","268.43","268.70","268.47","274.99","199.00","3,140","8,42,986.56","152"
"29-Aug-2024","EQ","267.13","269.99","265.01","267.13","268.00","267.71","267.48","274.99","199.00","3,491","9,33,778.28","168"
"28-Aug-2024","EQ","264.16","272.34","264.16","267.00","267.47","267.13","267.73","274.99","199.00","3,824","10,23,818.18","178"
"27-Aug-2024","EQ","269.40","269.40","264.01","266.45","266.99","267.00","267.30","274.99","199.00","2,144","5,73,095.50","188"
"26-Aug-2024","EQ","265.99","267.00","262.00","264.70","266.90","266.45","266.15","274.99","199.00","4,439","11,81,452.17","233"
"23-Aug-2024","EQ","267.46","267.46","262.00","264.73","265.10","264.70","264.96","274.99","199.00","2,405","6,37,228.44","206"
"22-Aug-2024","EQ","264.99","265.18","262.08","261.99","264.90","264.73","264.78","274.99","199.00","1,942","5,14,199.32","177"
"21-Aug-2024","EQ","266.00","268.07","259.00","262.81","259.00","261.99","263.61","274.99","199.00","1,792","4,72,391.25","175"
"20-Aug-2024","EQ","263.99","264.31","260.55","262.07","262.61","262.81","263.29","274.99","199.00","2,492","6,56,116.61","154"
"19-Aug-2024","EQ","263.49","266.30","261.00","261.04","262.74","262.07","262.91","274.99","199.00","1,618","4,25,395.66","220"
"16-Aug-2024","EQ","255.16","261.79","255.00","257.37","260.82","261.04","259.69","274.99","199.00","3,308","8,59,069.94","212"
"14-Aug-2024","EQ","259.99","259.99","257.00","257.76","257.00","257.37","257.62","274.99","199.00","1,456","3,75,096.74","133"
"13-Aug-2024","EQ","259.75","262.47","256.01","259.70","261.49","257.76","258.67","274.99","199.00","3,384","8,75,348.65","214"
"12-Aug-2024","EQ","260.10","262.66","255.56","259.48","259.00","259.70","259.78","274.99","199.00","6,190","16,08,049.80","256"
"09-Aug-2024","EQ","261.94","263.70","256.61","256.61","258.52","259.48","259.75","274.99","199.00","3,991","10,36,645.59","229"
"08-Aug-2024","EQ","264.06","264.06","255.70","258.88","255.70","256.61","257.41","274.99","199.00","11,578","29,80,281.63","227"
"07-Aug-2024","EQ","255.70","260.47","255.70","255.64","259.00","258.88","258.43","274.99","199.00","2,205","5,69,841.64","164"
"06-Aug-2024","EQ","259.15","262.95","254.75","259.15","256.18","255.64","258.44","274.99","199.00","6,111","15,79,322.78","262"
"05-Aug-2024","EQ","262.26","262.27","254.90","263.39","259.99","259.15","257.59","274.99","199.00","15,155","39,03,759.53","508"
"02-Aug-2024","EQ","267.47","267.47","262.02","265.93","264.65","263.39","264.29","274.99","199.00","4,808","12,70,688.31","224"
"01-Aug-2024","EQ","266.90","266.98","264.85","264.84","266.20","265.93","266.14","274.99","199.00","2,378","6,32,883.35","201"
"31-Jul-2024","EQ","266.90","266.90","263.55","264.13","264.79","264.84","265.29","274.99","199.00","4,187","11,10,777.06","173"
"30-Jul-2024","EQ","266.57","266.57","263.81","263.81","263.81","264.13","264.72","274.99","199.00","1,448","3,83,309.78","163"
"29-Jul-2024","EQ","263.00","267.49","261.55","263.41","263.40","263.81","264.67","274.99","199.00","2,824","7,47,434.62","222"
"26-Jul-2024","EQ","262.17","263.60","259.10","259.57","263.29","263.41","262.13","274.99","199.00","1,877","4,92,018.88","161"
"25-Jul-2024","EQ","262.97","262.98","257.38","260.66","261.00","259.57","258.87","274.99","199.00","1,570","4,06,432.33","162"
"24-Jul-2024","EQ","257.01","265.00","257.01","259.87","260.88","260.66","259.96","274.99","199.00","1,586","4,12,291.76","141"
"23-Jul-2024","EQ","258.16","270.00","256.00","261.11","256.00","259.87","259.95","274.99","199.00","78,343","2,03,65,195.94","268"
"22-Jul-2024","EQ","263.75","263.75","258.55","261.23","261.95","261.11","260.54","274.99","199.00","14,947","38,94,240.21","206"
"19-Jul-2024","EQ","265.79","265.79","260.41","263.36","261.00","261.23","262.10","274.99","199.00","2,494","6,53,668.13","183"
"18-Jul-2024","EQ","264.49","264.49","260.00","261.89","264.19","263.36","261.79","274.99","199.00","8,068","21,12,132.19","241"
"16-Jul-2024","EQ","261.43","267.70","261.01","261.43","262.15","261.89","262.11","274.99","199.00","1,811","4,74,687.00","177"
"15-Jul-2024","EQ","263.99","263.99","258.73","260.90","262.00","261.43","261.81","274.99","199.00","3,163","8,28,091.38","235"
"12-Jul-2024","EQ","258.79","261.58","256.01","258.79","260.21","260.90","259.63","274.99","199.00","13,320","34,58,268.29","170"
"11-Jul-2024","EQ","262.48","263.50","256.66","259.00","259.41","258.79","258.86","274.99","199.00","2,468","6,38,859.39","207"
"10-Jul-2024","EQ","262.98","262.98","256.36","259.86","258.98","259.00","258.66","274.99","199.00","2,265","5,85,862.11","206"
"09-Jul-2024","EQ","260.98","260.98","258.16","258.63","260.28","259.86","259.16","274.99","199.00","3,547","9,19,249.58","159"
"08-Jul-2024","EQ","265.70","265.70","257.22","258.61","259.50","258.63","259.01","274.99","199.00","6,091","15,77,622.38","1,471"
"05-Jul-2024","EQ","260.99","260.99","256.00","258.55","259.09","258.61","258.06","274.99","198.16","3,550","9,16,103.80","392"
"04-Jul-2024","EQ","260.97","260.97","255.32","258.02","258.90","258.55","258.80","274.99","198.16","4,161","10,76,884.69","178"
"03-Jul-2024","EQ","259.97","259.99","255.00","257.14","258.25","258.02","258.09","274.99","198.16","4,250","10,96,894.94","219"
"02-Jul-2024","EQ","259.81","259.81","254.00","256.09","257.18","257.14","256.25","274.99","198.16","2,573","6,59,320.44","203"
"01-Jul-2024","EQ","257.99","258.98","253.00","255.53","255.70","256.09","256.25","274.99","198.16","6,831","17,50,427.18","591"
"28-Jun-2024","EQ","259.99","259.99","253.55","256.02","256.26","255.53","256.72","274.99","194.00","3,464","8,89,263.89","247"
"27-Jun-2024","EQ","256.49","256.49","250.17","253.31","254.76","256.02","254.41","274.99","194.00","3,553","9,03,910.39","214"
"26-Jun-2024","EQ","254.50","254.50","251.45","252.21","254.00","253.31","252.73","274.99","194.00","2,120","5,35,795.31","181"
"25-Jun-2024","EQ","250.43","252.99","248.07","250.43","251.00","252.21","251.12","274.99","194.00","3,212","8,06,593.19","188"
"24-Jun-2024","EQ","253.40","253.40","248.00","249.97","250.92","250.43","250.29","274.99","194.00","1,720","4,30,492.20","227"
"21-Jun-2024","EQ","253.94","253.94","249.00","250.20","250.13","249.97","250.57","274.99","194.00","1,683","4,21,711.45","197"
"20-Jun-2024","EQ","249.68","251.17","249.15","249.67","250.17","250.20","250.44","274.99","194.00","1,821","4,56,050.82","212"
"19-Jun-2024","EQ","254.49","254.49","249.01","250.35","250.84","249.67","250.82","274.99","194.00","3,153","7,90,843.67","263"
"18-Jun-2024","EQ","246.56","252.48","246.56","248.93","250.05","250.35","249.99","274.99","194.00","4,464","11,15,952.30","288"
"14-Jun-2024","EQ","247.00","253.40","245.16","248.78","249.80","248.93","249.95","274.99","190.30","3,263","8,15,588.07","271"
"13-Jun-2024","EQ","253.40","253.40","247.01","247.67","248.94","248.78","248.70","274.99","190.30","2,636","6,55,560.10","187"
"12-Jun-2024","EQ","255.05","255.05","245.06","247.64","249.01","247.67","248.10","274.99","190.30","44,334","1,09,99,351.71","213"
"11-Jun-2024","EQ","249.97","249.98","246.27","247.14","248.75","247.64","248.21","274.99","190.30","4,722","11,72,051.91","210"
"10-Jun-2024","EQ","249.98","250.90","245.01","246.92","246.22","247.14","247.98","274.99","190.30","3,064","7,59,813.71","288"
"07-Jun-2024","EQ","246.99","247.00","243.11","243.11","247.00","246.92","245.51","274.99","190.30","6,082","14,93,210.53","246"
"06-Jun-2024","EQ","244.79","244.79","236.02","239.99","238.00","243.11","242.49","274.99","190.30","4,158","10,08,273.05","209"
"05-Jun-2024","EQ","249.70","249.70","235.44","242.20","241.40","239.99","239.11","274.99","190.30","10,185","24,35,324.87","349"
"04-Jun-2024","EQ","249.97","255.00","233.16","246.73","248.67","242.20","242.00","274.99","190.30","24,076","58,26,449.46","2,235"
"03-Jun-2024","EQ","244.43","251.40","241.01","239.96","248.15","246.73","244.91","274.99","190.30","12,827","31,41,463.51","412"
"31-May-2024","EQ","244.32","246.70","239.26","241.71","245.00","239.96","240.20","274.99","190.16","11,028","26,48,931.17","205"
"30-May-2024","EQ","246.68","247.00","237.00","241.84","245.40","241.71","239.94","274.99","190.16","8,572","20,56,754.59","218"
"29-May-2024","EQ","244.99","247.93","240.23","243.13","245.58","241.84","240.69","274.99","190.16","1,07,418","2,58,54,969.76","205"
"28-May-2024","EQ","240.60","246.98","240.60","243.08","242.61","243.13","243.04","274.99","190.16","9,393","22,82,885.21","134"
"27-May-2024","EQ","243.30","245.00","236.00","243.35","243.82","243.08","243.98","274.99","190.16","3,377","8,23,934.04","282"
"24-May-2024","EQ","240.55","244.70","240.55","242.96","243.12","243.35","243.64","274.99","188.37","2,749","6,69,753.11","192"
"23-May-2024","EQ","240.00","243.42","239.45","239.45","242.80","242.96","242.20","274.99","188.37","11,772","28,51,150.28","243"
"22-May-2024","EQ","236.55","241.00","236.55","238.51","239.33","239.45","239.32","274.99","188.37","2,022","4,83,912.17","169"
"21-May-2024","EQ","238.35","240.96","237.59","238.35","239.55","238.51","238.81","274.99","188.37","2,376","5,67,401.23","226"
"18-May-2024","EQ","237.99","240.00","237.00","237.66","237.53","238.35","238.05","274.99","184.36","896","2,13,288.40","44"
"17-May-2024","EQ","236.90","239.79","235.00","237.04","237.75","237.66","237.98","274.99","184.36","1,885","4,48,601.02","155"
"16-May-2024","EQ","239.00","239.00","234.17","235.56","237.93","237.04","235.92","274.99","184.36","2,502","5,90,260.45","186"
