"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Nov-2024","EQ","74.90","74.90","71.00","72.73","71.50","71.36","71.96","81.64","45.41","5,55,634","3,99,84,245.93","9,665"
"11-Nov-2024","EQ","74.90","74.90","72.13","72.71","72.70","72.73","72.86","81.64","45.41","4,71,395","3,43,46,768.84","6,253"
"08-Nov-2024","EQ","76.20","76.20","72.51","74.20","72.95","72.71","73.05","81.64","45.40","5,71,220","4,17,26,509.29","9,137"
"07-Nov-2024","EQ","76.55","76.55","72.10","74.33","73.99","74.20","73.98","81.64","45.40","9,90,507","7,32,74,008.89","5,943"
"06-Nov-2024","EQ","74.85","74.85","72.31","72.69","74.40","74.33","73.90","81.64","45.40","5,04,043","3,72,47,024.61","4,746"
"05-Nov-2024","EQ","73.70","73.70","71.35","72.33","72.71","72.69","71.95","81.64","45.40","6,19,030","4,45,36,930.71","7,633"
"04-Nov-2024","EQ","74.60","74.60","71.61","73.84","72.55","72.33","72.15","81.64","45.40","13,12,134","9,46,76,029.27","16,013"
"01-Nov-2024","EQ","76.84","76.84","72.56","72.88","74.20","73.84","74.08","81.64","44.05","1,62,453","1,20,34,476.68","3,004"
"31-Oct-2024","EQ","73.70","73.70","72.61","73.19","73.50","72.88","72.89","81.64","44.05","3,93,181","2,86,58,931.78","5,488"
"30-Oct-2024","EQ","75.50","75.50","72.55","73.30","73.25","73.19","73.43","81.64","44.05","3,88,170","2,85,04,103.74","4,943"
"29-Oct-2024","EQ","73.80","73.80","71.95","73.10","73.35","73.30","72.60","81.64","44.05","4,92,333","3,57,41,976.16","6,068"
"28-Oct-2024","EQ","75.99","78.00","71.90","72.58","73.29","73.10","73.02","81.64","44.05","16,74,900","12,22,98,549.38","7,124"
"25-Oct-2024","EQ","74.75","74.75","71.63","73.75","72.76","72.58","72.42","81.64","43.75","10,21,320","7,39,62,887.70","10,663"
"24-Oct-2024","EQ","74.06","74.30","73.51","73.86","74.30","73.75","73.85","81.64","43.75","3,65,991","2,70,26,794.13","5,152"
"23-Oct-2024","EQ","72.50","75.50","72.30","74.12","73.85","73.86","74.14","81.64","43.75","7,97,001","5,90,91,505.88","7,189"
"22-Oct-2024","EQ","78.60","78.60","73.95","76.30","74.70","74.12","74.84","81.64","43.75","22,16,005","16,58,52,796.91","13,900"
"21-Oct-2024","EQ","79.39","79.39","76.02","77.39","76.57","76.30","76.70","81.64","43.75","6,58,262","5,04,91,708.47","9,029"
"18-Oct-2024","EQ","77.00","77.58","76.02","77.08","77.57","77.39","76.95","81.64","43.75","4,17,035","3,20,90,890.17","4,874"
"17-Oct-2024","EQ","80.30","80.30","77.01","78.78","77.58","77.08","77.49","81.64","43.75","9,73,526","7,54,41,442.00","11,780"
"16-Oct-2024","EQ","78.97","79.15","78.38","78.97","78.71","78.78","78.82","81.64","43.75","2,86,366","2,25,69,943.46","3,895"
"15-Oct-2024","EQ","81.10","81.10","77.44","78.75","78.99","78.97","78.92","81.64","43.75","3,29,849","2,60,30,156.53","3,683"
"14-Oct-2024","EQ","78.55","79.30","78.41","78.52","78.80","78.75","78.66","81.64","43.75","3,18,195","2,50,28,661.72","4,414"
"11-Oct-2024","EQ","79.44","79.44","78.00","78.37","78.55","78.52","78.42","81.64","43.75","2,02,165","1,58,53,208.48","3,441"
"10-Oct-2024","EQ","81.37","81.37","78.23","78.54","78.51","78.37","78.65","81.64","43.75","3,92,054","3,08,35,828.85","4,277"
"09-Oct-2024","EQ","79.85","79.85","76.09","77.50","78.60","78.54","78.62","81.64","43.75","5,48,813","4,31,48,186.06","4,276"
"08-Oct-2024","EQ","77.96","78.00","75.16","77.00","78.00","77.50","76.71","81.64","43.75","6,71,371","5,15,01,001.43","6,081"
"07-Oct-2024","EQ","80.60","80.60","75.57","79.41","77.50","77.00","76.67","81.64","43.75","20,28,514","15,55,27,635.80","23,494"
"04-Oct-2024","EQ","79.50","81.20","77.50","78.84","79.66","79.41","78.44","81.64","43.75","7,29,016","5,71,80,681.93","8,613"
"03-Oct-2024","EQ","81.64","81.64","78.25","80.29","79.64","78.84","79.14","81.64","43.75","16,94,210","13,40,73,669.91","15,908"
"01-Oct-2024","EQ","81.30","81.30","80.11","80.33","80.70","80.29","80.38","81.36","43.75","3,71,602","2,98,71,122.50","4,696"
"30-Sep-2024","EQ","81.30","81.30","80.17","80.82","80.50","80.33","80.71","81.36","43.75","12,58,058","10,15,32,150.35","7,046"
"27-Sep-2024","EQ","80.80","80.99","80.02","80.27","80.70","80.82","80.71","81.36","43.75","5,02,780","4,05,81,553.59","4,049"
"26-Sep-2024","EQ","80.04","80.46","79.53","79.63","80.19","80.27","80.01","81.36","43.75","5,19,660","4,15,77,153.11","3,702"
"25-Sep-2024","EQ","80.30","80.30","79.11","79.83","79.99","79.63","79.58","81.36","43.75","3,77,068","3,00,05,425.20","4,474"
"24-Sep-2024","EQ","80.40","80.40","78.71","79.69","80.05","79.83","79.89","81.36","43.75","3,74,975","2,99,57,233.16","3,752"
"23-Sep-2024","EQ","80.90","81.36","78.55","78.54","79.70","79.69","79.34","81.36","43.75","5,39,248","4,27,82,083.57","4,702"
"20-Sep-2024","EQ","77.99","78.83","77.48","77.48","78.50","78.54","78.32","80.95","43.75","7,77,422","6,08,88,018.86","3,552"
"19-Sep-2024","EQ","80.40","80.40","75.70","78.05","77.64","77.48","77.17","80.95","43.75","5,40,823","4,17,37,790.94","7,436"
"18-Sep-2024","EQ","78.79","78.79","77.61","78.40","78.22","78.05","78.19","80.95","43.75","16,64,095","13,01,11,910.78","4,313"
"17-Sep-2024","EQ","78.15","78.88","77.60","78.63","78.50","78.40","78.36","80.95","43.75","3,13,498","2,45,65,500.27","4,414"
"16-Sep-2024","EQ","76.30","80.65","76.30","78.65","78.75","78.63","78.67","80.95","43.75","3,43,434","2,70,18,777.11","4,624"
"13-Sep-2024","EQ","78.99","78.99","78.31","78.30","78.90","78.65","78.63","80.95","43.75","3,33,304","2,62,07,561.39","3,215"
"12-Sep-2024","EQ","75.48","78.48","75.48","77.48","78.35","78.30","78.11","80.95","43.75","4,05,261","3,16,52,964.11","2,935"
"11-Sep-2024","EQ","78.40","78.40","77.26","77.86","77.98","77.48","77.75","80.95","43.75","2,83,723","2,20,59,710.65","3,786"
"10-Sep-2024","EQ","78.34","78.34","77.57","77.61","77.85","77.86","77.91","80.95","43.75","3,25,055","2,53,25,882.80","3,392"
"09-Sep-2024","EQ","80.00","80.00","76.75","77.66","77.92","77.61","77.25","80.95","43.75","3,99,692","3,08,75,735.55","6,335"
"06-Sep-2024","EQ","80.10","80.10","77.50","78.54","77.96","77.66","77.87","80.95","43.75","6,46,018","5,03,07,057.55","7,638"
"05-Sep-2024","EQ","80.95","80.95","78.21","78.59","78.74","78.54","78.72","80.95","43.75","4,17,164","3,28,39,490.11","3,858"
"04-Sep-2024","EQ","80.60","80.60","77.62","78.26","78.60","78.59","78.26","80.80","43.75","2,64,217","2,06,78,795.54","3,956"
"03-Sep-2024","EQ","80.80","80.80","78.11","78.47","78.43","78.26","78.37","80.80","43.75","9,46,492","7,41,78,507.87","4,776"
"02-Sep-2024","EQ","80.05","80.05","76.40","78.48","78.54","78.47","78.41","80.30","43.75","5,48,035","4,29,72,081.69","5,907"
"30-Aug-2024","EQ","80.30","80.30","77.40","77.98","78.49","78.48","78.51","80.30","43.75","8,51,099","6,68,16,299.51","3,304"
"29-Aug-2024","EQ","79.25","79.25","77.40","78.23","78.15","77.98","77.80","80.25","43.75","7,21,765","5,61,52,948.36","5,319"
"28-Aug-2024","EQ","80.25","80.25","77.72","77.91","78.34","78.23","78.25","80.25","43.75","8,45,356","6,61,47,107.26","3,335"
"27-Aug-2024","EQ","75.60","78.07","75.60","77.60","77.75","77.91","77.88","80.00","43.75","3,42,744","2,66,93,494.76","2,761"
"26-Aug-2024","EQ","75.15","78.19","75.15","77.45","77.55","77.60","77.56","80.00","43.75","2,84,470","2,20,63,376.72","4,280"
"23-Aug-2024","EQ","79.64","79.64","77.16","77.64","77.36","77.45","77.72","80.00","43.75","4,21,929","3,27,93,004.28","3,642"
"22-Aug-2024","EQ","77.99","77.99","77.18","77.18","77.70","77.64","77.66","80.00","43.75","11,20,838","8,70,41,174.81","3,176"
"21-Aug-2024","EQ","77.70","77.70","76.62","76.93","77.15","77.18","77.12","80.00","43.75","16,51,866","12,73,93,334.14","2,979"
"20-Aug-2024","EQ","78.70","78.70","76.25","76.41","77.00","76.93","76.46","80.00","43.75","9,27,601","7,09,28,412.78","3,051"
"19-Aug-2024","EQ","78.20","78.20","75.89","75.91","76.54","76.41","76.32","80.00","43.75","6,76,168","5,16,06,860.36","3,783"
"16-Aug-2024","EQ","72.30","76.10","72.30","74.54","75.99","75.91","75.23","80.00","43.75","3,68,190","2,77,00,485.90","3,536"
"14-Aug-2024","EQ","76.10","76.10","73.97","74.59","74.85","74.54","74.34","80.00","43.75","2,58,237","1,91,97,260.09","3,110"
"13-Aug-2024","EQ","75.97","75.97","74.40","75.20","74.52","74.59","74.90","80.00","43.75","2,54,447","1,90,59,091.15","3,646"
"12-Aug-2024","EQ","78.00","78.00","74.67","75.74","75.40","75.20","75.21","80.00","43.75","5,25,822","3,95,48,220.76","4,509"
"09-Aug-2024","EQ","75.50","76.96","75.20","75.32","75.73","75.74","75.61","80.00","43.75","4,90,475","3,70,86,329.97","2,831"
"08-Aug-2024","EQ","77.55","77.55","74.52","75.29","75.30","75.32","75.26","80.00","43.75","5,61,148","4,22,33,692.68","2,599"
"07-Aug-2024","EQ","75.40","75.49","73.61","73.22","75.49","75.29","74.74","80.00","43.75","9,44,957","7,06,30,116.98","3,019"
"06-Aug-2024","EQ","72.20","75.97","72.20","74.43","73.40","73.22","74.17","80.00","43.75","6,96,668","5,16,69,880.54","4,883"
"05-Aug-2024","EQ","78.65","78.65","73.12","76.37","73.90","74.43","74.22","80.00","43.75","12,45,557","9,24,44,205.01","11,160"
"02-Aug-2024","EQ","79.90","79.90","76.15","77.55","76.90","76.37","76.74","80.00","43.75","5,36,609","4,11,77,346.74","5,767"
"01-Aug-2024","EQ","80.00","80.00","76.90","77.65","77.20","77.55","77.53","80.00","43.75","3,95,169","3,06,39,129.45","4,551"
"31-Jul-2024","EQ","79.40","79.40","77.05","77.11","77.70","77.65","77.62","79.40","43.75","3,32,718","2,58,25,614.53","2,862"
"30-Jul-2024","EQ","79.35","79.35","76.72","77.05","77.10","77.11","77.26","79.35","43.75","2,87,962","2,22,47,405.73","2,734"
"29-Jul-2024","EQ","76.45","77.25","74.88","76.19","77.00","77.05","76.93","79.15","43.75","7,39,323","5,68,78,057.44","3,798"
"26-Jul-2024","EQ","76.45","76.45","74.78","74.97","75.90","76.19","75.97","79.15","43.75","10,15,777","7,71,72,469.16","2,972"
"25-Jul-2024","EQ","75.30","75.30","73.34","74.63","75.19","74.97","74.49","79.15","43.75","4,07,578","3,03,59,648.60","2,760"
"24-Jul-2024","EQ","76.75","76.75","73.18","74.52","74.70","74.63","74.56","79.15","43.75","2,67,718","1,99,61,541.70","2,758"
"23-Jul-2024","EQ","73.85","75.78","71.64","75.05","74.69","74.52","74.34","79.15","43.75","8,74,083","6,49,75,931.89","5,592"
"22-Jul-2024","EQ","72.00","76.45","72.00","74.23","75.18","75.05","74.65","79.15","43.75","3,41,430","2,54,88,138.24","3,943"
"19-Jul-2024","EQ","76.30","76.30","74.08","76.03","74.55","74.23","74.81","79.15","43.75","8,43,376","6,30,93,072.95","7,450"
"18-Jul-2024","EQ","74.55","79.15","74.55","76.83","76.50","76.03","75.93","79.15","43.75","5,48,918","4,16,78,254.09","5,883"
"16-Jul-2024","EQ","74.80","77.68","74.80","77.11","77.00","76.83","77.07","79.05","43.75","2,56,398","1,97,59,443.09","3,299"
"15-Jul-2024","EQ","78.96","78.96","76.57","76.71","77.24","77.11","77.03","79.05","43.75","3,36,490","2,59,19,262.50","3,159"
"12-Jul-2024","EQ","77.55","77.55","76.35","76.77","76.73","76.71","76.86","79.05","43.75","3,02,249","2,32,31,727.24","2,997"
