"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Nov-2024","EQ","189.50","191.50","180.75","190.07","189.29","188.69","185.71","663.00","124.25","71,52,823","1,32,83,82,490.95","1,01,047"
"19-Nov-2024","EQ","192.00","195.64","189.02","188.87","189.02","190.07","192.63","663.00","124.25","46,61,001","89,78,53,628.56","59,442"
"18-Nov-2024","EQ","190.02","191.90","185.50","190.03","188.15","188.87","188.61","663.00","124.25","52,75,304","99,49,95,679.21","68,057"
"14-Nov-2024","EQ","185.91","193.80","185.66","186.85","189.50","190.03","190.12","663.00","124.25","61,06,680","1,16,10,09,554.26","83,521"
"13-Nov-2024","EQ","200.00","200.00","184.72","200.00","189.90","186.85","190.86","663.00","124.25","83,79,778","1,59,93,42,712.71","1,21,113"
"12-Nov-2024","EQ","206.00","208.60","199.20","204.78","199.60","200.00","203.72","663.00","124.25","36,67,768","74,72,13,417.27","57,388"
"11-Nov-2024","EQ","208.90","209.00","201.50","209.29","204.40","204.78","205.94","663.00","124.25","45,87,809","94,48,10,160.69","57,722"
"08-Nov-2024","EQ","219.65","220.21","208.00","218.61","209.40","209.29","213.78","663.00","124.25","46,14,827","98,65,66,738.09","57,865"
"07-Nov-2024","EQ","225.09","227.25","217.55","225.09","219.75","218.61","222.29","663.00","124.25","37,02,582","82,30,47,357.86","43,302"
"06-Nov-2024","EQ","219.85","225.66","218.15","218.87","224.80","225.09","222.67","663.00","124.25","46,87,021","1,04,36,71,794.61","47,071"
"05-Nov-2024","EQ","215.00","219.70","213.19","216.04","218.90","218.87","217.18","663.00","124.25","34,91,027","75,81,90,011.95","41,630"
"04-Nov-2024","EQ","221.46","221.95","214.05","222.96","215.78","216.04","216.61","663.00","124.25","40,13,846","86,94,59,218.92","56,110"
"01-Nov-2024","EQ","224.26","226.50","220.10","223.80","221.65","222.96","224.23","663.00","124.25","15,44,645","34,63,50,684.98","20,911"
"31-Oct-2024","EQ","219.05","224.95","217.00","218.92","223.30","223.80","221.06","663.00","124.25","48,36,288","1,06,90,94,366.11","53,727"
"30-Oct-2024","EQ","212.70","222.00","210.71","212.01","219.10","218.92","217.55","663.00","124.25","59,20,371","1,28,79,99,737.00","58,639"
"29-Oct-2024","EQ","214.00","214.39","207.06","212.96","212.70","212.01","210.87","663.00","124.25","62,40,523","1,31,59,49,031.99","65,283"
"28-Oct-2024","EQ","213.00","217.00","203.21","202.94","212.90","212.96","211.67","663.00","124.25","2,16,37,497","4,58,00,74,152.68","1,80,791"
"25-Oct-2024","EQ","210.15","211.46","197.27","209.21","204.50","202.94","202.71","663.00","124.25","74,16,302","1,50,33,78,170.89","1,28,976"
"24-Oct-2024","EQ","208.00","211.00","202.97","208.08","209.06","209.21","207.60","663.00","124.25","47,25,266","98,09,63,765.63","74,132"
"23-Oct-2024","EQ","202.50","210.90","197.36","205.85","207.43","208.08","205.74","663.00","124.25","74,18,384","1,52,62,42,280.32","1,10,318"
"22-Oct-2024","EQ","216.50","216.50","204.00","217.04","204.90","205.85","209.23","663.00","124.25","62,58,780","1,30,94,93,591.41","95,241"
"21-Oct-2024","EQ","224.41","228.79","216.12","222.37","217.69","217.04","220.66","663.00","124.25","58,45,556","1,28,98,88,139.77","61,682"
"18-Oct-2024","EQ","214.90","228.01","208.50","215.74","225.50","222.37","220.34","663.00","124.25","2,27,60,633","5,01,51,47,855.12","1,18,239"
"17-Oct-2024","EQ","220.63","220.80","213.55","219.68","215.07","215.74","216.65","663.00","124.25","52,15,715","1,12,99,98,610.19","47,919"
"16-Oct-2024","EQ","224.10","230.90","218.10","223.92","219.98","219.68","223.16","663.00","124.25","1,11,30,363","2,48,38,03,064.21","1,05,843"
"15-Oct-2024","EQ","216.08","224.80","214.47","214.86","223.30","223.92","221.43","663.00","124.25","96,25,963","2,13,15,06,654.33","82,139"
"14-Oct-2024","EQ","218.61","229.00","212.50","218.61","214.85","214.86","220.36","663.00","124.25","1,53,60,786","3,38,48,96,747.67","1,49,324"
"11-Oct-2024","EQ","219.14","220.44","216.52","219.18","218.29","218.61","218.46","663.00","124.25","30,27,376","66,13,53,594.65","46,901"
"10-Oct-2024","EQ","224.98","227.10","218.00","223.29","218.40","219.18","221.86","663.00","124.25","45,48,120","1,00,90,67,860.11","61,751"
"09-Oct-2024","EQ","216.45","229.45","216.45","214.62","224.00","223.29","224.10","663.00","124.25","1,20,69,083","2,70,46,46,003.86","1,27,750"
"08-Oct-2024","EQ","205.00","216.10","204.00","208.14","214.85","214.62","209.98","663.00","124.25","1,46,99,377","3,08,65,53,820.39","1,18,973"
"07-Oct-2024","EQ","223.39","225.25","206.26","222.25","208.27","208.14","212.78","663.00","124.25","1,13,32,272","2,41,12,87,563.95","1,50,796"
"04-Oct-2024","EQ","229.96","230.75","218.15","229.96","223.39","222.25","223.48","663.00","124.25","75,41,460","1,68,53,28,870.39","1,12,127"
"03-Oct-2024","EQ","230.00","237.50","228.90","239.27","229.50","229.96","232.68","663.00","124.25","51,29,704","1,19,35,73,737.03","73,179"
"01-Oct-2024","EQ","238.45","241.78","235.01","237.48","239.00","239.27","238.27","663.00","124.25","42,42,580","1,01,08,63,828.70","45,626"
"30-Sep-2024","EQ","238.18","246.50","233.10","238.18","238.40","237.48","239.42","663.00","124.25","1,03,16,341","2,46,99,52,192.52","1,28,623"
"27-Sep-2024","EQ","244.70","246.80","233.61","245.23","238.90","238.18","241.09","663.00","124.25","54,77,059","1,32,04,76,204.35","68,155"
"26-Sep-2024","EQ","246.00","247.90","241.70","246.42","245.00","245.23","244.53","663.00","124.25","38,13,710","93,25,79,405.81","47,608"
"25-Sep-2024","EQ","251.60","253.89","245.00","251.99","247.00","246.42","249.13","663.00","124.25","42,42,762","1,05,69,79,445.52","52,640"
"24-Sep-2024","EQ","254.00","255.57","245.51","253.69","251.40","251.99","249.71","663.00","124.25","98,20,119","2,45,21,86,240.75","68,195"
"23-Sep-2024","EQ","260.00","261.90","251.85","254.34","253.50","253.69","255.69","663.00","124.25","98,30,620","2,51,35,56,047.38","99,742"
"20-Sep-2024","EQ","242.75","260.00","239.15","241.53","259.60","254.34","251.90","663.00","124.25","3,00,82,498","7,57,77,69,430.33","1,34,697"
"19-Sep-2024","EQ","250.04","251.00","230.49","248.65","242.40","241.53","238.44","663.00","124.25","1,50,28,839","3,58,34,43,552.38","1,36,242"
"18-Sep-2024","EQ","249.00","258.40","241.95","244.64","247.80","248.65","250.54","663.00","124.25","2,01,44,703","5,04,70,49,230.25","1,54,834"
"17-Sep-2024","EQ","241.00","246.00","238.25","240.36","244.00","244.64","242.25","663.00","124.25","81,43,329","1,97,27,06,108.27","74,793"
"16-Sep-2024","EQ","252.15","254.25","238.15","250.99","240.40","240.36","245.15","663.00","124.25","94,11,097","2,30,70,92,303.59","88,718"
"13-Sep-2024","EQ","249.00","253.17","240.45","246.73","252.00","250.99","249.25","663.00","124.25","1,30,79,517","3,26,00,19,568.31","1,12,168"
"12-Sep-2024","EQ","241.00","251.39","240.90","238.53","246.50","246.73","246.86","663.00","124.25","1,59,44,266","3,93,59,48,313.69","1,25,657"
