"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Nov-2024","EQ","11,126.00","11,280.45","11,020.00","11,169.05","11,111.00","11,141.90","11,172.11","12,619.00","3,957.75","86,133","96,22,86,934.40","19,963"
"19-Nov-2024","EQ","11,275.00","11,562.55","11,096.55","11,272.25","11,114.00","11,169.05","11,359.88","12,619.00","3,957.75","1,27,844","1,45,22,92,791.05","31,356"
"18-Nov-2024","EQ","11,800.45","11,844.90","11,009.40","11,768.55","11,265.00","11,272.25","11,489.92","12,619.00","3,957.75","1,79,726","2,06,50,36,907.00","33,019"
"14-Nov-2024","EQ","11,729.95","12,004.50","11,700.10","11,762.15","11,830.00","11,768.55","11,829.82","12,619.00","3,957.75","1,08,716","1,28,60,90,808.90","28,996"
"13-Nov-2024","EQ","11,840.05","11,977.55","11,681.60","11,855.75","11,750.00","11,762.15","11,805.14","12,619.00","3,957.75","94,042","1,11,01,78,558.95","26,028"
"12-Nov-2024","EQ","11,989.00","12,141.95","11,783.15","11,932.80","11,860.10","11,855.75","11,904.02","12,619.00","3,957.75","1,50,298","1,78,91,50,636.85","31,729"
"11-Nov-2024","EQ","11,500.00","11,985.00","11,397.85","11,518.15","11,930.00","11,932.80","11,861.76","12,619.00","3,957.75","1,60,844","1,90,78,92,517.45","38,383"
"08-Nov-2024","EQ","11,410.00","11,749.95","11,410.00","11,423.30","11,510.00","11,518.15","11,593.13","12,619.00","3,930.00","97,671","1,13,23,12,991.50","22,128"
"07-Nov-2024","EQ","11,600.00","11,665.20","11,250.00","11,561.00","11,383.55","11,423.30","11,433.71","12,619.00","3,930.00","73,472","84,00,57,700.90","18,886"
"06-Nov-2024","EQ","11,083.55","11,600.00","11,038.10","10,938.35","11,560.00","11,561.00","11,412.13","12,619.00","3,930.00","1,45,380","1,65,90,95,582.65","30,677"
"05-Nov-2024","EQ","10,840.00","10,949.95","10,775.00","10,842.80","10,939.00","10,938.35","10,857.95","12,619.00","3,930.00","79,690","86,52,70,046.90","22,100"
"04-Nov-2024","EQ","10,823.25","10,940.40","10,725.15","10,822.35","10,804.70","10,842.80","10,832.61","12,619.00","3,930.00","98,808","1,07,03,48,504.45","19,300"
"01-Nov-2024","EQ","10,886.50","11,099.00","10,775.00","10,886.50","10,840.90","10,822.35","10,854.72","12,619.00","3,869.25","14,599","15,84,68,008.75","3,203"
"31-Oct-2024","EQ","11,267.00","11,294.70","10,644.00","11,267.00","10,920.00","10,886.50","10,846.77","12,619.00","3,869.25","2,18,143","2,36,61,47,599.55","48,005"
"30-Oct-2024","EQ","11,086.90","11,500.00","10,995.00","10,990.40","11,260.00","11,267.00","11,300.51","12,619.00","3,869.25","1,23,787","1,39,88,56,809.60","30,246"
"29-Oct-2024","EQ","11,075.70","11,080.00","10,681.00","10,990.30","10,919.85","10,990.40","10,869.69","12,619.00","3,869.25","72,733","79,05,85,204.50","17,558"
"28-Oct-2024","EQ","10,869.20","11,131.60","10,787.30","10,888.05","10,943.30","10,990.30","11,002.42","12,619.00","3,869.25","1,02,138","1,12,37,65,412.45","18,899"
"25-Oct-2024","EQ","10,475.00","11,154.70","10,428.85","10,682.40","10,889.00","10,888.05","10,928.08","12,619.00","3,868.80","4,32,097","4,72,19,91,270.90","66,281"
"24-Oct-2024","EQ","11,278.00","11,365.00","10,570.30","11,214.15","10,730.00","10,682.40","11,003.70","12,619.00","3,868.80","2,04,311","2,24,81,76,063.20","36,208"
"23-Oct-2024","EQ","10,899.00","11,402.95","10,872.10","10,890.55","11,210.00","11,214.15","11,234.51","12,619.00","3,868.80","1,92,175","2,15,89,91,257.75","40,005"
"22-Oct-2024","EQ","11,250.00","11,390.00","10,814.10","11,196.50","10,890.70","10,890.55","11,157.37","12,619.00","3,868.80","1,56,820","1,74,96,98,819.55","34,643"
"21-Oct-2024","EQ","11,627.00","11,659.00","11,152.00","11,583.60","11,175.00","11,196.50","11,362.26","12,619.00","3,868.80","1,08,502","1,23,28,28,201.10","21,782"
"18-Oct-2024","EQ","11,473.70","11,599.00","11,301.05","11,502.45","11,590.00","11,583.60","11,509.07","12,619.00","3,868.80","77,607","89,31,84,704.75","18,072"
"17-Oct-2024","EQ","11,589.95","11,699.00","11,378.95","11,571.95","11,506.00","11,502.45","11,536.64","12,619.00","3,868.80","95,010","1,09,60,96,371.60","21,243"
"16-Oct-2024","EQ","11,730.00","11,816.90","11,518.30","11,817.30","11,589.80","11,571.95","11,607.44","12,619.00","3,868.80","2,08,236","2,41,70,87,219.05","37,122"
"15-Oct-2024","EQ","11,834.95","11,881.85","11,725.00","11,731.45","11,786.20","11,817.30","11,821.84","12,619.00","3,868.80","1,28,502","1,51,91,30,605.90","21,539"
"14-Oct-2024","EQ","11,584.95","11,800.00","11,515.50","11,556.40","11,750.00","11,731.45","11,656.36","12,619.00","3,868.80","69,155","80,60,95,419.15","15,364"
