"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Nov-2024","EQ","427.70","431.80","420.00","432.15","421.00","421.85","423.54","647.00","162.10","35,99,338","1,52,44,47,422.10","87,798"
"19-Nov-2024","EQ","420.50","435.05","419.50","416.20","428.50","432.15","429.76","647.00","162.10","51,66,306","2,22,02,62,717.35","86,051"
"18-Nov-2024","EQ","418.65","427.85","409.50","419.50","416.00","416.20","416.80","647.00","162.10","44,51,811","1,85,55,15,057.25","98,208"
"14-Nov-2024","EQ","419.55","428.45","416.10","419.85","422.00","419.50","422.36","647.00","156.60","38,14,197","1,61,09,64,393.70","82,541"
"13-Nov-2024","EQ","432.25","451.85","418.00","437.70","419.55","419.85","431.76","647.00","156.60","52,36,303","2,26,08,28,227.70","1,23,227"
"12-Nov-2024","EQ","444.00","450.85","432.00","436.55","432.00","437.70","442.21","647.00","156.60","36,68,960","1,62,24,52,050.15","81,313"
"11-Nov-2024","EQ","445.00","446.00","429.20","447.95","437.50","436.55","435.74","647.00","156.60","48,99,446","2,13,48,83,038.85","1,02,551"
"08-Nov-2024","EQ","444.00","457.40","443.30","477.85","448.00","447.95","451.48","647.00","154.05","81,78,730","3,69,25,62,570.45","1,70,900"
"07-Nov-2024","EQ","475.00","486.70","473.30","469.65","476.15","477.85","479.72","647.00","154.05","83,28,110","3,99,51,23,359.95","1,46,452"
"06-Nov-2024","EQ","466.00","472.50","460.50","450.90","469.75","469.65","466.77","647.00","154.05","62,51,705","2,91,81,37,345.85","1,20,798"
"05-Nov-2024","EQ","452.05","457.00","441.35","446.20","451.00","450.90","448.82","647.00","154.05","72,78,500","3,26,67,34,845.90","1,34,529"
"04-Nov-2024","EQ","469.30","469.30","443.50","470.95","447.90","446.20","452.42","647.00","154.05","52,62,254","2,38,07,33,293.80","1,26,379"
"01-Nov-2024","EQ","471.00","476.95","468.00","471.80","470.10","470.95","472.74","647.00","152.60","14,08,627","66,59,16,262.80","37,037"
"31-Oct-2024","EQ","467.00","479.70","461.55","465.35","471.00","471.80","471.11","647.00","152.60","66,08,995","3,11,35,94,032.70","1,28,349"
"30-Oct-2024","EQ","440.00","479.05","436.05","438.90","467.95","465.35","466.87","647.00","152.60","1,47,83,053","6,90,17,03,856.55","2,46,522"
"29-Oct-2024","EQ","432.30","442.00","427.55","432.30","438.90","438.90","436.81","647.00","152.60","39,62,720","1,73,09,54,082.95","82,602"
"28-Oct-2024","EQ","418.85","436.50","408.15","419.75","432.00","432.30","426.36","647.00","152.60","67,38,378","2,87,29,74,875.85","1,39,842"
"25-Oct-2024","EQ","442.10","445.60","414.10","441.95","420.80","419.75","422.94","647.00","142.15","52,91,153","2,23,78,61,702.60","1,37,326"
"24-Oct-2024","EQ","444.40","449.90","435.65","442.15","442.00","441.95","441.18","647.00","142.15","37,37,733","1,64,90,29,745.65","77,726"
