"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Nov-2024","EQ","14,948.40","15,339.60","14,725.00","14,876.40","15,000.00","14,995.45","15,021.26","15,969.20","5,265.00","6,17,940","9,28,22,37,946.90","98,650"
"19-Nov-2024","EQ","14,850.95","15,382.00","14,762.15","14,811.45","14,775.25","14,876.40","15,103.31","15,969.20","5,265.00","5,16,403","7,79,93,94,524.25","82,276"
"18-Nov-2024","EQ","14,950.00","15,020.95","14,740.05","14,776.10","14,823.00","14,811.45","14,859.82","15,969.20","5,265.00","3,72,272","5,53,18,94,971.45","56,854"
"14-Nov-2024","EQ","14,725.10","15,088.50","14,674.95","14,719.95","14,800.00","14,776.10","14,859.70","15,969.20","5,206.60","4,46,922","6,64,11,25,624.15","77,514"
"13-Nov-2024","EQ","14,990.00","15,050.00","14,540.00","15,008.15","14,795.60","14,719.95","14,723.19","15,969.20","5,206.60","5,18,378","7,63,21,78,553.50","99,102"
"12-Nov-2024","EQ","15,451.90","15,660.95","14,960.00","15,387.75","15,009.95","15,008.15","15,248.56","15,969.20","5,206.60","4,78,330","7,29,38,45,868.25","69,991"
"11-Nov-2024","EQ","15,621.10","15,778.00","15,345.10","15,621.10","15,399.90","15,387.75","15,528.82","15,969.20","5,206.60","5,56,807","8,64,65,54,836.05","75,064"
"08-Nov-2024","EQ","15,698.50","15,969.20","15,380.00","15,698.50","15,578.00","15,621.10","15,675.39","15,969.20","5,206.60","6,44,468","10,10,22,84,091.90","1,02,399"
"07-Nov-2024","EQ","15,747.60","15,790.00","15,525.00","15,647.60","15,694.95","15,698.50","15,653.21","15,900.00","5,206.60","5,99,708","9,38,73,54,068.50","93,167"
"06-Nov-2024","EQ","14,500.15","15,817.00","14,500.00","14,402.65","15,630.00","15,647.60","15,496.57","15,900.00","5,206.60","20,81,159","32,25,08,27,783.95","2,63,688"
"05-Nov-2024","EQ","14,364.00","14,590.50","14,144.25","14,434.60","14,414.00","14,402.65","14,377.63","15,900.00","5,206.60","4,99,759","7,18,53,51,413.95","77,654"
"04-Nov-2024","EQ","14,120.00","14,543.95","13,711.05","14,129.75","14,365.00","14,434.60","14,181.07","15,900.00","5,206.60","7,30,929","10,36,53,55,302.00","1,28,076"
